window,nsup,prd,support...
74,32,9.459591,22,11,44,10,5,23,12,45,21,6,0,9,4,7,87,89,43,2,90,20,14,46,30,179,88,42,80,215,114,86,91,177
75,32,26.704794,31,62,32,11,48,12,6,8,2,0,49,23,33,3,7,98,13,30,63,9,173,17,50,99,96,122,4,67,230,71,114,160
76,32,10.067855,12,51,50,24,25,5,13,6,52,3,103,11,102,31,7,4,1,15,8,32,101,26,104,254,127,64,14,23,49,2,29,17
77,32,15.110397,24,17,6,8,18,35,9,1,3,48,2,22,11,13,50,7,34,25,100,0,71,26,36,99,5,49,72,10,255,189,187,200
78,32,11.857662,55,19,27,14,9,28,10,39,79,56,2,0,40,15,5,38,80,6,112,3,4,29,77,57,20,113,11,7,114,13,111,225
79,32,20.665839,37,12,50,18,3,6,8,51,9,24,2,38,102,36,67,11,4,101,0,25,75,10,5,23,74,73,17,19,103,13,52,26
80,32,11.392390,24,2,7,0,50,48,99,49,15,100,11,5,12,31,14,13,101,98,127,3,17,23,254,60,102,203,63,6,10,16,64,51
81,32,17.354218,7,21,43,42,5,10,13,85,12,86,51,6,20,22,41,3,14,1,26,87,4,2,31,8,222,173,44,24,9,62,18,184
82,32,14.026750,5,17,61,35,8,3,62,30,4,15,11,2,36,34,1,14,9,0,70,6,18,16,71,10,124,12,63,7,145,198,31,69
83,32,10.997531,25,2,3,1,7,12,51,5,24,4,9,15,14,26,102,50,49,101,31,100,8,6,19,30,52,29,62,10,21,45,112,103
84,32,22.108716,59,5,14,18,37,36,1,17,9,60,11,4,30,74,51,56,7,38,10,35,118,180,73,112,19,58,29,235,232,214,6,75
85,32,14.679445,54,0,3,15,9,2,6,27,26,53,55,18,127,12,108,28,8,10,56,7,31,107,19,17,23,14,123,110,219,193,5,64
86,32,13.712145,40,20,6,41,10,5,12,81,39,82,13,8,19,2,15,21,127,16,1,79,31,32,11,64,0,83,42,63,4,14,9,24
87,32,17.668240,36,5,18,61,15,30,9,62,4,37,0,6,14,1,23,8,2,35,171,72,19,120,17,71,121,21,63,125,147,34,20,124
88,32,10.811441,27,0,15,3,1,55,13,9,26,31,6,4,53,109,110,54,28,8,10,127,111,2,56,254,108,32,64,7,11,24,30,39
89,32,20.063533,2,8,16,6,15,127,5,4,1,32,31,9,255,17,0,126,254,225,22,11,227,120,14,119,64,41,208,125,7,30,39,91
90,32,17.068071,5,8,30,34,60,17,61,16,3,35,15,71,1,11,45,23,119,65,31,6,62,18,122,70,0,25,238,72,118,123,26,9
91,32,21.316859,26,0,6,12,53,3,15,1,31,52,54,13,127,106,25,62,4,19,153,107,21,8,14,145,72,7,139,196,91,77,122,11
92,32,10.924617,46,0,6,11,23,22,14,4,95,8,24,32,47,94,13,2,45,96,31,16,28,29,97,228,9,3,255,7,92,127,20,41
93,32,10.119980,19,6,39,9,12,38,4,5,78,1,18,10,7,2,81,13,20,11,40,79,22,127,77,84,25,80,49,82,152,46,14,37
94,32,22.939473,26,0,16,4,3,63,53,8,65,5,66,33,17,12,31,52,28,1,54,13,32,64,107,2,105,233,192,34,6,67,47,15
95,32,12.078114,0,24,23,12,7,98,11,49,5,97,1,47,25,3,43,30,29,31,14,13,99,4,196,50,26,15,87,59,6,16,96,127
96,32,10.219727,20,5,7,42,6,41,12,10,9,3,40,19,8,82,84,11,4,15,13,85,43,83,1,81,14,21,0,61,31,35,168,170
97,32,15.838429,17,211,29,34,5,8,1,60,14,16,58,3,11,59,120,10,18,71,70,84,22,54,119,33,68,2,35,7,67,118,72,61
98,32,10.233933,24,7,3,50,12,9,1,2,11,100,14,4,48,127,0,8,99,10,5,6,31,21,23,101,25,51,32,98,29,62,37,43
99,32,10.613905,39,6,9,4,12,38,19,40,5,37,11,13,77,2,79,78,10,29,20,159,76,25,15,24,41,107,3,18,31,32,0,114
100,32,11.396488,28,7,6,57,0,3,15,14,58,5,2,13,9,116,59,29,115,127,10,31,1,117,26,113,4,27,8,200,21,83,49,11
101,32,37.899886,31,44,2,63,62,22,21,43,61,67,150,155,101,133,247,76,45,15,30,19,8,70,7,12,89,88,243,0,14,1,17,11
102,32,15.306993,57,14,3,7,56,15,13,58,6,27,29,31,5,0,114,9,59,12,127,231,25,4,8,171,133,64,113,32,26,109,34,107
103,32,14.308257,49,24,0,50,2,11,13,12,1,48,7,5,25,21,31,98,23,15,8,97,10,127,3,64,14,9,37,43,52,101,22,91
104,32,17.329657,6,41,40,9,10,1,19,21,42,20,3,0,82,12,126,83,7,2,13,11,4,44,249,17,63,14,47,107,36,254,92,193
105,32,15.834134,19,18,61,38,62,2,5,30,37,31,14,63,0,76,6,39,3,9,4,1,125,22,77,25,28,15,11,124,87,12,16,10
